Category	ID	Name	PValue	QValueFDRBY	QValueFDRBH	QValueBonferroni	TotalGenes	GenesInTerm	GenesInQuery	GenesInTermInQuery	Source	URL	Genes
GeneOntologyMolecularFunction	GO:0030280	structural constituent of skin epidermis	7.60474443223002e-15	3.49957679919739e-11	4.95829336981397e-12	4.95829336981397e-12	19963	44	193	12	 	 	SPRR1A|SPRR1B|SPRR2A|SPRR2E|PI3|KRT6C|FLG|KRT4|KRT5|KRT6A|KRT6B|KRT7
GeneOntologyMolecularFunction	GO:0004252	serine-type endopeptidase activity	1.61741623031492e-11	3.72154012846659e-08	5.27277691082663e-09	1.05455538216533e-08	19963	303	193	20	 	 	KLK7|KLK6|KLK10|PI3|SERPINB13|SERPINB3|SERPINB4|A2ML1|TMPRSS11D|KLK5|PCSK9|SPINK5|KLK11|COL6A3|PRSS27|SLPI|SERPINE1|SERPINB2|KLK13|TMPRSS11A
GeneOntologyMolecularFunction	GO:0008236	serine-type peptidase activity	4.57774525983032e-11	6.94580672015402e-08	9.84100346546117e-09	2.98468990940937e-08	19963	321	193	20	 	 	KLK7|KLK6|KLK10|PI3|SERPINB13|SERPINB3|SERPINB4|A2ML1|TMPRSS11D|KLK5|PCSK9|SPINK5|KLK11|COL6A3|PRSS27|SLPI|SERPINE1|SERPINB2|KLK13|TMPRSS11A
GeneOntologyMolecularFunction	GO:0017171	serine hydrolase activity	6.03742543893324e-11	6.94580672015402e-08	9.84100346546117e-09	3.93640138618447e-08	19963	326	193	20	 	 	KLK7|KLK6|KLK10|PI3|SERPINB13|SERPINB3|SERPINB4|A2ML1|TMPRSS11D|KLK5|PCSK9|SPINK5|KLK11|COL6A3|PRSS27|SLPI|SERPINE1|SERPINB2|KLK13|TMPRSS11A
GeneOntologyMolecularFunction	GO:0004175	endopeptidase activity	1.21580898375201e-08	1.11899011195215e-05	1.58541491481262e-06	7.92707457406312e-06	19963	685	193	25	 	 	KLK7|KLK6|KLK10|PI3|SERPINB13|SERPINB3|SERPINB4|UCHL1|A2ML1|TMPRSS11D|KLK5|PCSK9|SPINK5|KLK11|COL6A3|CLCA4|ADAMTS12|CLCA2|PRSS27|SLPI|SERPINE1|SERPINB2|CSTA|KLK13|TMPRSS11A
GeneOntologyMolecularFunction	GO:0008233	peptidase activity	1.76414746018474e-08	1.35305215865423e-05	1.91704024006742e-06	1.15022414404045e-05	19963	916	193	29	 	 	KLK7|KLK6|MAL|KLK10|PI3|SERPINB13|GPC3|SERPINB3|SERPINB4|UCHL1|A2ML1|TMPRSS11D|KLK5|PCSK9|SPINK5|KLK11|COL6A3|CLCA4|FN1|CAV1|ADAMTS12|CLCA2|PRSS27|SLPI|SERPINE1|SERPINB2|CSTA|KLK13|TMPRSS11A
GeneOntologyMolecularFunction	GO:0061134	peptidase regulator activity	3.94613686302781e-08	2.59420928143258e-05	3.67554462099162e-06	2.57288123469413e-05	19963	261	193	15	 	 	MAL|PI3|SERPINB13|GPC3|SERPINB3|SERPINB4|A2ML1|SPINK5|COL6A3|FN1|CAV1|SLPI|SERPINE1|SERPINB2|CSTA
GeneOntologyMolecularFunction	GO:0004867	serine-type endopeptidase inhibitor activity	8.05125116686987e-08	4.6313147074139e-05	6.56176970099895e-06	5.24941576079916e-05	19963	106	193	10	 	 	PI3|SERPINB13|SERPINB3|SERPINB4|A2ML1|SPINK5|COL6A3|SLPI|SERPINE1|SERPINB2
GeneOntologyMolecularFunction	GO:0005198	structural molecule activity	1.43454559529061e-07	7.33504448353619e-05	1.03924858681053e-05	9.35323728129478e-05	19963	892	193	27	 	 	MAL|SPRR1A|SPRR1B|SPRR2A|SPRR2E|SPRR3|PI3|KRT6C|MUC17|FLG|KRT4|KRT5|COL6A3|KRT6A|KRT6B|KRT7|KRT13|COL11A1|KRT14|SORBS2|KRT16|FN1|ANK3|CLDN7|ECM1|PPL|TGM3
GeneOntologyMolecularFunction	GO:0035325	Toll-like receptor binding	2.9820314234393e-07	0.000137228122219559	1.94428448808242e-05	0.000194428448808242	19963	29	193	6	 	 	CEACAM5|CEACAM7|CEACAM6|CEACAM1|S100A8|S100A9
GeneOntologyMolecularFunction	GO:0005200	structural constituent of cytoskeleton	5.51126573060614e-07	0.000230562977158161	3.26667750577746e-05	0.000359334525635521	19963	130	193	10	 	 	SPRR1A|SPRR1B|KRT5|KRT6A|KRT6B|KRT14|SORBS2|KRT16|ANK3|PPL
