Category	ID	Name	PValue	QValueFDRBY	QValueFDRBH	QValueBonferroni	TotalGenes	GenesInTerm	GenesInQuery	GenesInTermInQuery	Source	URL	Genes
GeneOntologyMolecularFunction	GO:0005198	structural molecule activity	8.85748693157328e-15	8.58876797725735e-11	1.11338610729876e-11	1.11338610729876e-11	19963	892	578	71	 	 	CLDN18|MAL|MAP2|TTN|PGM5|TUBA1B|SLIT2|PI3|MYL9|MGP|KRT6C|MUC17|PKP1|LAMB4|FRAS1|COL10A1|COL11A1|SORBS2|COL12A1|COL17A1|FN1|ANK2|ABI3BP|OLFM4|CLDN3|CLDN7|PRELP|HSPB6|PODN|RIMS2|MUC6|FBN3|RELN|MYH11|SPRR1A|SPRR1B|SPRR2A|SPRR2E|SPRR3|SPTA1|SPTBN1|LAMA1|FGL2|MAGI2|DES|NEFL|VILL|MALL|DMBT1|KRT4|KRT5|KRT6A|KRT6B|KRT7|KRT13|KRT14|KRT15|KRT16|KRT17|SYNM|PCLO|LAMA5|OGN|CLDN10|CLDN2|TGM3|THBS4|HMCN1|MYOM2|ELN|TNXB
GeneOntologyMolecularFunction	GO:0005509	calcium ion binding	4.64662121644978e-13	2.25282587570241e-09	2.92040143453869e-10	5.84080286907737e-10	19963	777	578	62	 	 	TPO|REG4|S100A14|LRP1B|TTN|SVEP1|RYR3|S100A2|S100A7|S100A8|S100A9|SLIT2|S100A12|S100P|FAT2|MYL9|MGP|EEF2K|PLA2G4F|VIL1|VSNL1|ANXA1|FAT3|DUOX2|S100A7A|CELSR1|PLCH2|AOC3|EGFLAM|FBN3|PRSS3|CDHR2|SPTA1|CDHR5|SMOC2|PCDH17|CAPN8|FREM2|GJB2|BRAF|CRNN|NOTCH1|DSC2|DSC3|DSG1|DSG3|CALML3|PCLO|PCDHA12|ANXA8|CUBN|VWCE|DLL1|TGM3|THBS4|MEGF6|HMCN1|LRP2|CDH1|CDH3|CDH4|CDH17
GeneOntologyMolecularFunction	GO:0005201	extracellular matrix structural constituent	4.85822415070114e-10	1.57027835450496e-06	2.03559591914378e-07	6.10678775743133e-07	19963	195	578	25	 	 	SLIT2|MGP|MUC17|LAMB4|FRAS1|COL10A1|COL11A1|COL12A1|COL17A1|FN1|ABI3BP|PRELP|PODN|MUC6|FBN3|RELN|LAMA1|FGL2|DMBT1|LAMA5|OGN|THBS4|HMCN1|ELN|TNXB
GeneOntologyMolecularFunction	GO:0005200	structural constituent of cytoskeleton	1.06810461180844e-09	2.58925097974482e-06	3.35651874260802e-07	1.34260749704321e-06	19963	130	578	20	 	 	TTN|TUBA1B|SORBS2|ANK2|SPRR1A|SPRR1B|SPTA1|SPTBN1|DES|NEFL|VILL|KRT5|KRT6A|KRT6B|KRT14|KRT15|KRT16|KRT17|SYNM|MYOM2
GeneOntologyMolecularFunction	GO:0050839	cell adhesion molecule binding	2.05769503328724e-09	3.9905371230889e-06	5.17304531368412e-07	2.58652265684207e-06	19963	600	578	46	 	 	TRPC4|PFKP|TRIM29|S100P|ITGBL1|NDRG1|CGN|PKP1|LIMA1|SFRP2|FN1|ANXA1|OLFM4|APC|CLDN7|LRRC4C|IGF1|CSNK1D|IL1B|TJP3|ADAM23|CDHR2|SPTBN1|SRC|CDHR5|EPS8L1|GFRA1|PROM1|PTPRH|PTPRZ1|PXN|SFN|DSC2|DSCAM|LAMA5|GPRC5A|THBS4|EGFR|TSPAN8|LYN|CDH1|CDH3|CDH4|TNXB|CDH17|HDLBP
GeneOntologyMolecularFunction	GO:0030280	structural constituent of skin epidermis	2.80501280286501e-09	4.53319026851874e-06	5.8765018220022e-07	3.52590109320133e-06	19963	44	578	12	 	 	PI3|KRT6C|PKP1|SPRR1A|SPRR1B|SPRR2A|SPRR2E|KRT4|KRT5|KRT6A|KRT6B|KRT7
GeneOntologyMolecularFunction	GO:0004252	serine-type endopeptidase activity	5.00297502207659e-09	6.10014418365681e-06	7.90778817705547e-07	6.28873960275028e-06	19963	303	578	30	 	 	PI3|SERPINB5|SERPINB13|SERPINB3|SERPINB4|A2ML1|TMPRSS3|TMPRSS11D|MMP3|KLK5|MMP7|SLPI|KLK13|CTSE|PRSS3|CPAMD8|KLK7|KLK6|KLK10|SPINK1|ST14|SPINK5|KLK11|PRSS27|SERPINE1|SERPINB2|KLK8|TMPRSS2|LTF|TMPRSS11A
GeneOntologyMolecularFunction	GO:0008236	serine-type peptidase activity	5.03280074912042e-09	6.10014418365681e-06	7.90778817705547e-07	6.32623054164438e-06	19963	321	578	31	 	 	PI3|SERPINB5|SERPINB13|SERPINB3|SERPINB4|A2ML1|TMPRSS3|TMPRSS11D|MMP3|KLK5|MMP7|SLPI|KLK13|CTSE|PRSS3|CPAMD8|RELN|KLK7|KLK6|KLK10|SPINK1|ST14|SPINK5|KLK11|PRSS27|SERPINE1|SERPINB2|KLK8|TMPRSS2|LTF|TMPRSS11A
GeneOntologyMolecularFunction	GO:0004175	endopeptidase activity	5.90459629525701e-09	6.36162478779697e-06	8.24675282570895e-07	7.42207754313807e-06	19963	685	578	49	 	 	ADAMTS19|PGC|PI3|SERPINB5|SERPINB13|SERPINB3|SERPINB4|UCHL1|A2ML1|TMPRSS3|TMPRSS11D|MMP3|KLK5|MMP7|PAPPA2|VIL1|CLCA4|SFRP1|SFRP2|ANK2|ADAM32|CLCA2|SLPI|CSTA|CSTB|KLK13|CTSE|PRSS3|CPAMD8|KLK7|KLK6|KLK10|SPINK1|GAPDH|ADAM23|ST14|CAPN8|C3|SPINK5|KLK11|CASP7|ADAM12|PRSS27|SERPINE1|SERPINB2|KLK8|TMPRSS2|LTF|TMPRSS11A
GeneOntologyMolecularFunction	GO:0017171	serine hydrolase activity	7.26871793204645e-09	7.04819914415477e-06	9.13677844058238e-07	9.13677844058239e-06	19963	326	578	31	 	 	PI3|SERPINB5|SERPINB13|SERPINB3|SERPINB4|A2ML1|TMPRSS3|TMPRSS11D|MMP3|KLK5|MMP7|SLPI|KLK13|CTSE|PRSS3|CPAMD8|RELN|KLK7|KLK6|KLK10|SPINK1|ST14|SPINK5|KLK11|PRSS27|SERPINE1|SERPINB2|KLK8|TMPRSS2|LTF|TMPRSS11A
